ce worker worktree-prune: dry-run (670 candidate(s))
VERDICT      REASON             BRANCH                   PATH
REPORT_ONLY  dirty              ce-harden-actuator-arming-guard /home/cedev2/creator-engine/.ce/wt-ce-harden-actuator-harvest
REPORT_ONLY  unpushed-commits   ce-l7a-auto-tag          /home/cedev2/creator-engine/.ce/wt-ce-l7a-auto-tag-review
REPORT_ONLY  unpushed-commits   ce-l7b-finalize          /home/cedev2/creator-engine/.ce/wt-ce-l7b-finalize-review
REPORT_ONLY  unpushed-commits   ce-l7e-parity            /home/cedev2/creator-engine/.ce/wt-ce-l7e-parity-review
REPORT_ONLY  unpushed-commits   ce-l7f-integration       /home/cedev2/creator-engine/.ce/wt-ce-l7f-integration-review
REPORT_ONLY  dirty              ce-mac-container-onboarding /home/cedev2/creator-engine/.ce/wt-ce-mac-container-onboarding-harvest
REPORT_ONLY  dirty              ce-onboarding-doc-accuracy /home/cedev2/creator-engine/.ce/wt-ce-onboarding-doc-accuracy-harvest
REPORT_ONLY  unpushed-commits   release/0.3.0-staging    /home/cedev2/creator-engine/.ce/wt-ce-release-030
REPORT_ONLY  too-new            ce-triage-autolabel      /home/cedev2/creator-engine/.ce/wt-ce-triage-autolabel-harvest
REPORT_ONLY  unpushed-commits   ce-292-autoreview        /home/cedev2/creator-engine/.ce/wt-ce292-harvest
REPORT_ONLY  dirty              ce-arm-automerge-actuate /home/cedev2/creator-engine/.ce/wt-ce313-arma-harvest
REPORT_ONLY  dirty              ce-automerge-decide-ci   /home/cedev2/creator-engine/.ce/wt-ce313-harvest
REPORT_ONLY  dirty              ce-automerge-status      /home/cedev2/creator-engine/.ce/wt-ce313-status-harvest
REPORT_ONLY  unpushed-commits   ce315-autonomous-release-phase-a /home/cedev2/creator-engine/.ce/wt-ce315-release-phase-a
REPORT_ONLY  unpushed-commits   ce-333-contributor-dev-install /home/cedev2/creator-engine/.ce/wt-ce333-harvest
REPORT_ONLY  dirty              ce-forge-trigger-taxonomy /home/cedev2/creator-engine/.ce/wt-ce34-forge-trigger
REPORT_ONLY  dirty              ce-34-forge-design       /home/cedev2/creator-engine/.ce/wt-ce34-harvest
REPORT_ONLY  dirty              ce-343-installspec-version-agnostic /home/cedev2/creator-engine/.ce/wt-ce343-harvest
REPORT_ONLY  dirty              ce-344-slice2-checklist  /home/cedev2/creator-engine/.ce/wt-ce344-harvest
REPORT_ONLY  dirty              ce-344-slice3-skillify   /home/cedev2/creator-engine/.ce/wt-ce344-slice3-harvest
REPORT_ONLY  too-new            ce-347-autoreview-runmode-cli /home/cedev2/creator-engine/.ce/wt-ce347-harvest
